Planner,Description,Links,tags
**A**,,,
ACOPlan,,Guide Page \| Home Page \| Paper,
Fast Downwards Stone Soup 2018,,Guide Page \| Home Page \| Paper,
Fast Downward Uniform,,Guide Page \| Home Page \| Paper,
FDMS1,,Guide Page \| Home Page \| Paper,
FDMS2,,Guide Page \| Home Page \| Paper,
Fork Uniform,,Guide Page \| Home Page \| Paper,
Freelunch,,Guide Page \| Home Page \| Paper,
freelunch-doubly-relaxed,,Guide Page \| Home Page \| Paper,
freelunch-madagascar,,Guide Page \| Home Page \| Paper,
fs-blind,,Guide Page \| Home Page \| Paper,
fs-sim,,Guide Page \| Home Page \| Paper,
**G**,,,
Gamer,,Guide Page \| Home Page \| Paper,
**H**,,,
hflow,,Guide Page \| Home Page \| Paper,
hpp,,Guide Page \| Home Page \| Paper,
hppce,,Guide Page \| Home Page \| Paper,
hsp,,Guide Page \| Home Page \| Paper,
**I**,,,
IBaCoP-2018,,Guide Page \| Home Page \| Paper,
IBaCoP2-2018,,Guide Page \| Home Page \| Paper,
IFork Init,,Guide Page \| Home Page \| Paper,
Imitation-Net,,Guide Page \| Home Page \| Paper,
ITSAT,,Guide Page \| Home Page \| Paper,
**J**,,,
Jasper,,Guide Page \| Home Page \| Paper,
JavaFF,,Guide Page \| [Home Page](https://nms.kcl.ac.uk/planning/software/javaff.html) \| Paper,
**K**,,,
**L**,,,
LAMA-2011,,Guide Page \| Home Page \| Paper,
Lamar,,Guide Page \| Home Page \| Paper,
LAPKT-BFWS-Preference,,Guide Page \| Home Page \| Paper,
LAPKT-DFS+,,Guide Page \| Home Page \| Paper,
LAPKT-DUAL-BFWS,,Guide Page \| Home Page \| Paper,
LAPKT-POLYNOMIAL-BFWS,,Guide Page \| Home Page \| Paper,
LM-cut,,Guide Page \| Home Page \| Paper,
LMFork,,Guide Page \| Home Page \| Paper,
LMTD,,Guide Page \| Home Page \| Paper,
LPRPG,,Guide Page \| [Home Page](https://nms.kcl.ac.uk/planning/software/lprpg.html) \| Paper,
LPRPG-P,,Guide Page \| [Home Page](https://nms.kcl.ac.uk/planning/software/lprpgp.html) \| Paper,
**M**,,,
Madagascar,,Guide Page \| Home Page \| Paper,
Madagascar-pC,,Guide Page \| Home Page \| Paper,
Marvin,,Guide Page \| [Home Page](https://nms.kcl.ac.uk/planning/software/marvin.html) \| Paper,
maplan-1,,Guide Page \| Home Page \| Paper,
maplan-2,,Guide Page \| Home Page \| Paper,
mercury2014,,Guide Page \| Home Page \| Paper,
Merge and Shrink,,Guide Page \| Home Page \| Paper,
MERWIN,,Guide Page \| Home Page \| Paper,
MetricFF,,[Guide Page](./MetricFF/main.md) \| [Home Page](https://fai.cs.uni-saarland.de/hoffmann/metric-ff.html) \| Paper,
Metis1,,Guide Page \| Home Page \| Paper,
Metis2,,Guide Page \| Home Page \| Paper,
MIPlan,,Guide Page \| Home Page \| Paper,
Mips XXL,,Guide Page \| Home Page \| Paper,
MSP,,Guide Page \| Home Page \| Paper,
**N**,,,
NuCeLar,,Guide Page \| Home Page \| Paper,
**O**,,,
OLCFF,,Guide Page \| Home Page \| Paper,
OPTIC,,[Guide Page](./OPTIC/main.md) \| [Home Page](https://nms.kcl.ac.uk/planning/software/optic.html) \| Paper,
**P**,,,
PaaS,,Guide Page \| [Home Page](http://solver.planning.domains/) \| Paper,
PHSFF,,Guide Page \| Home Page \| Paper,
Planets,,Guide Page \| Home Page \| Paper,
Planning-PDBs,,Guide Page \| Home Page \| Paper,
PopCorm,,Guide Page \| Home Page \| Paper,
POPF,,[Guide Page](./POPF/main.md) \| [Home Page](https://nms.kcl.ac.uk/planning/software/popf.html) \| Paper,
PROBE,,Guide Page \| Home Page \| Paper,
Prost-DD-1,,Guide Page \| Home Page \| Paper,
Prost-DD-2,,Guide Page \| Home Page \| Paper,
**Q**,,,
**R**,,,
Random-Bandit,,Guide Page \| Home Page \| Paper,
Randward,,Guide Page \| Home Page \| Paper,
Rational Lazy A*,,Guide Page \| Home Page \| Paper,
RIDA,,Guide Page \| Home Page \| Paper,
Roamer,,Guide Page \| Home Page \| Paper,
RPT,,Guide Page \| Home Page \| Paper,
**S**,,,
Saarplan,,Guide Page \| Home Page \| Paper,
SATPLANLM-C,,Guide Page \| Home Page \| Paper,
Scorpion,,Guide Page \| Home Page \| Paper,
Selective Max,,Guide Page \| Home Page \| Paper,
Sharaabi,,Guide Page \| Home Page \| Paper,
SIW,,Guide Page \| Home Page \| Paper,
SMTPlan+,,[Guide Page](./SMTPlan/main.md) \| [Home Page](http://kcl-planning.github.io/SMTPlan/) \| Paper,
SPM&S,,Guide Page \| Home Page \| Paper,
SymBA*-1,,Guide Page \| Home Page \| Paper,
SymBA*-2,,Guide Page \| Home Page \| Paper,
Symple-1,,Guide Page \| Home Page \| Paper,
Symple-2,,Guide Page \| Home Page \| Paper,
**T**,,,
tBURTON,,Guide Page \| Home Page \| Paper,
TemPorAl,,Guide Page \| Home Page \| Paper,
Temporal Fast Downwards,,Guide Page \| Home Page \| Paper,
TFLAP,,Guide Page \| Home Page \| Paper,
TLP-GP,,Guide Page \| Home Page \| Paper,
TM-LPSAT,,[Guide Page](./TMLPSAT/main.md) \| Home Page \| Paper,
TSGP,,Guide Page \| [Home Page](https://nms.kcl.ac.uk/planning/software/tsgp.html) \| Paper,
**U**,,,
UPMurphi,,[Guide Page](./UPMurphi/main.md) \| [Home Page](https://github.com/gdellapenna/UPMurphi) \| Paper,
Upwards,,Guide Page \| Home Page \| Paper,
USE,,Guide Page \| Home Page \| Paper,
**V**,,,
**W**,,,
**X**,,,
**Y**,,,
YAHSP3,,Guide Page \| Home Page \| Paper,
YAHSP3-MT,,Guide Page \| Home Page \| Paper,
**Z**,,,
